Title,Description,Category,Collection,Tags,Vendor,Product type ,Price,weight,skunumber
Armaf Club De Nuit Intense Man Eau de Toilette Spray 105ml,"Explore your wild side with Club De Nuit Intense Man, a sophisticated masculine fragrance that is designed to captivate and tantalise. This bold scent is a perfect balance of citrus, wood and spice that will have you ready to take on the night.

Start with a fresh burst of lemon, bergamot, pineapple, apple and blackcurrant that will tantalise your senses and awaken your spirit. Then, a distinctive heart of birch, rose and jasmine will linger on your skin, creating an unforgettable signature. Finally, this intoxicating blend of ambergris, musk, vanilla and patchouli will leave a lasting impression that will have you coming back for more.

This unique, yet classic combination of notes is perfect for any man looking to make a statement. Whether you're hitting the town for a night out or just want something that will turn heads, Club De Nuit Intense Man is the perfect scent for you. So, add a little intrigue to your life and try this timeless fragrance today.

Club De Nuit Intense Man is the perfect way to take your look to the next level and make a statement. With its bold and sophisticated aroma, you'll be ready for anything the night brings. So, don't wait - add this fragrance to your basket today and be ready for anything.

Notes: Lemon, Bergamot, Pineapple, Apple, Blackcurrant, Birch, Rose, Jasmine, Ambergris, Musk, Vanilla, Patchouli.",Perfume & Cologne,"Menís Fragrance, Menís Perfume","Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",Fragrance Direct,Armaf,50.915,105ml,2001
Nautica Voyage Eau de Toilette Spray 100ml,"Nautica Voyage is a fresh and salty sea breeze, that carries romantic scents of coastal herbs and woods and awakes the man's instinct to measure his power with wild nature. This is a fragrance for an active and romantic man who lives by his own rules. The composition opens with cold, green notes of leaves and apples. There is a tender dewy mimose in the heart, which is blended with a watery note of lotus and an interesting accord of linen sail of a yacht. The composition is laid on a woody base, a combination of cedar, moss, musk and amber. The nose behind the perfume is Maurice Roucel. The fragrance was launched in 2006.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Nautica,26.435,100ml,2002
Calvin Klein CK One Eau de Toilette 200ml,"CK One embodies a universal spirit for a diverse world. It is an iconic fragrance that is unapologetically bold, yet exudes youthful, fresh simplicity. Celebrating individuality and unity, this fragrance evokes the excitement of limitless opportunity.

Bringing together refreshing notes of green tea, papaya, and bergamot. Perfectly balanced with soft accents of nutmeg, violet, cardamom, and rose. Compelling and dynamic, CK One is a dialogue between the masculine and feminine.

CK One is revolutionary, rejecting traditional gender stereotypes and harmonizing feminine floral and masculine musk into one unisex scent, appealing to men and women alike.

This fragrance carries fresh notes of green tea while embracing the sweetness of amber and musk.

Top notes: Green Tea, Bergamot, Cardamom
Heart notes: Violet, Rose, Nutmeg
Base notes: Amber, Musk

Please note: We are unable to ship fragrances over 150ml outside of the UK.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Calvin Klein,56.1,200ml,2003
Calvin Klein Obsession Night For Men Eau de Toilette 125ml,"This addition to the Obsession range is a deeper and darker companion to the original Obsession. This masculine scent opens with top notes of Cardamom, Pear, Grapefruit and Artemisia. The composition then blends into a heart of Nutmeg and Musk and Vetiver, then finally comes to a close with warming base notes of Vanilla and Patchouli. The woody notes give Calvin Klein Obsession Night for Men an amber feel.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Calvin Klein,33.15,125ml,2004
Davidoff Cool Water Man Eau de Toilette Spray 200ml,"Cool Water, Davidoff, Eau de Toilette.

Discover the legendary marine fragrance for men, inspired by the freshness of the ocean. The strength of deep waters and pure masculinity are embodied in this iconic fragrance. The scent unfolds with aromatic notes of mint and lavender, blended with the sensuality of amber. A unique composition that delivers an immediate freshness.

Make your call with Cool Water, your ultimate blend of freshness, power and seduction.

Fragrance Family: Aromatic
Top Notes: Coriander, Mint
Heart Note: Lavender
Base Note: Amber

Please note: We are unable to ship fragrances over 150ml outside of the UK.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Davidoff,57.8,200ml,2005
Issey Miyake L'Eau D'Issey Pour Homme Eau de Toilette Spray 75ml Gift Set,Xmas Giftset for men L'Eau d'Issey Pour Homme Eau de Toilette by Issey Miyake. Issey Miyake invites you to celebrate Xmas under the snow and wishes you a bright and beautiful holiday season.,Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Issey Miyake,55.25,75ml,2006
Versace Dreamer Eau de Toilette Spray 100ml,"Versace Dreamer is an exotic and luxurious perfume for men, an easy way to add style and sophistication to any occasion. This masculine Versace fragrance comes in a 100ml bottle with the iconic brand Medusa head carved out of the glass.

Enjoy notes of wild linen flowers, amber, and tobacco with every spray of this sharp, woody amber fragrance. This Versace men‚Äôs scent is warm yet fresh, with a natural, sensual aroma and a robust base.

Notes: citrus, neroli, bergamot, petitgrain, hyacinth, clary sage, cedar, geranium, tonka bean, musk, amber",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Versace,39.1,100ml,2007
HUGO BOSS BOSS In Motion Eau de Toilette 100ml,"This aromatic men‚Äôs eau de toilette is a fresh, energetic, sensual fragrance. As with most amber perfumes, Hugo BOSS In Motion is spicy and distinctive, perfect for anyone wanting to stand out from the crowd.

The fragrance opens with vibrant, bright top notes of mandarin, orange, basil, violet leaf and bergamot. The scent moves seamlessly into a warm spicy heart of nutmeg, cinnamon, pink pepper and cardamom. BOSS In Motion then finishes with masculine base notes of sandalwood, vetiver and musk fragrances.

This classic men‚Äôs scent is an ode to an active lifestyle and is a must-have fragrance for any Hugo BOSS fan.

Notes: Mandarin, orange, basil, violet leaf, bergamot, nutmeg, cinnamon, pink pepper, cardamom, nutmeg, sandalwood, musk, vetiver.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,HUGO BOSS,58.565,100ml,2008
Police Police To Be Eau de Toilette Spray 125ml,"Police presents a new fragrance for men To Be, in a glass Skull with a Metal Police plate as a detail.
With notes of Black Pepper and Spricy notes it it is then refreshed with cold and luminous grapefruit. A new wave of violet leaves gives it a fine elegant note.
With the basenotes of Cedar, Patchouli and White Amber.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Police,28.815,125ml,2009
Carolina Herrera 212 Sexy Men Eau de Toilette 100ml,"Sensual, seductive and enigmatic, he is the personification of the cosmopolitan city. His confident, relatable style reflects the warm, sensual atmosphere of a night out in Manhattan. When he enters the room, an air of mystery follows, turning heads as he passes by.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Carolina Herrera,80.07,100ml,2010
