Title,Description,Category,Collection,Tags,Product type ,Vendor,Price,weight,skunumber,Img_src,,,,
Diesel Fuel For Life For Him Eau de Toilette Spray 125ml,"Diesel Fuel for Life Homme is a mythical elixir that evokes images of something that's a source of energy and fuels a passion for life. These emotions, combined with sexiness and seduction, are exactly what Diesel have recreated and bottled - It's Fuel For Life. A magic potion of mysterious star anise, vintage raspberry and authentic heliotropine for him.",Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Diesel,Fragrance Direct,103.7,125ml,2160,https://static.thcdn.com/images/small/webp//productimg/512/512/14576309-1195105559124197.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14576309-4645105559167922.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14576309-1105105559219171.jpg,,
Armaf Hunter Killer Eau de Toilette Spray 100ml,"Hunter Killer is a bold and spicy fragrance, a fiery energy with smoky accords. The opening is driven by spice with pepper, green apple, incense, nutmeg, cinnamon, and saffron. The heart takes an earthy respite through lavender, patchouli, and jasmine. The base finishes with a shot of tobacco, vetiver, guaiac wood, vanilla, and amber.",Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Armaf,Fragrance Direct,46.665,100ml,2161,https://static.thcdn.com/images/small/webp//productimg/512/512/15238283-5695128620486933.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/15238283-7075128620502086.jpg,,,
Banana Republic Collezione Riservata Velvet Pomegranate Eau de Parfum Spray 75ml,"Velvet Pomegranate folds together a range of warm spices with tart fruity notes. Pomegranate, bergamot, pear, and rhubarb create the opening. The heart brings fresh tuberose, orange blossom, and jasmine. The base concludes with vanilla, patchouli, and musk.

Launched in 2022 the nose behind this fragrance is Christelle Laprade.

Top Notes: Pomegranate, calabrian Bergamot, Pear and Rhubarb
Middle Notes: Tuberose, Orange Blossom and Egyptian Jasmine
Base Notes: Bourbon Vanilla, Indonesian Patchouli Leaf and Musk",Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Banana Republic,Fragrance Direct,47.6,75ml,2162,https://static.thcdn.com/images/small/webp//productimg/512/512/14605365-2065056802980143.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14605365-1265058668325060.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14605365-1195058475638315.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14605365-1815056600061358.jpg,
Versace Pour Homme Eau de Toilette Spray 50ml Gift Set,"Diamante Citrus, Bitter Orange leaves and Neiroli flowers light up the fragrance with Mediterranean accents. The heart of Versace Pour Homme is characterized by the mineral-floral aroma, almost tactile, of Clary Sage and Blue Hyacinth. Amber and Musk deliver deep and sensual base notes, the essence of pure masculinity.",Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Versace,Fragrance Direct,83.47,50ml,2163,https://static.thcdn.com/images/small/webp//productimg/512/512/14888203-5165089803057510.jpg,,,,
Rapport Sport Eau de Toilette Spray 100ml Gift Set,"Nominated for an Independent Pharmacy Award, Rapport Sport is available today as a 100ml Eau de Toilette and 150ml Body Spray.

It features Top Notes of Lemon, Bergamot, and Spearmint, Heart Notes of Jasmine, Plum, Nutmeg, and Cumin and Base Notes of Vanilla, Musk and Amber.

Set Includes:
- Dana Rapport Sport Eau de Toilette Spray 100ml
- Dana Rapport Sport Deodorant Body Spray 150ml",Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Rapport,Fragrance Direct,13.583,100ml,2164,https://static.thcdn.com/images/small/webp//productimg/512/512/14605531-2025056810297551.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14605531-1645058663305556.jpg,,,
Versace Man Eau Fraiche Eau de Toilette Spray 100ml Gift Set,"Versace Man Eau Fraiche is an Aromatic-Tonic-Woody fragrance designed for the strong and self-confident man who is fond of luxury. Top notes of white lemon, rose wood and carambola give way to a heart of tarragon, clary sage and cedar leaves. The base notes of sycamore wood, amber and musk complete the fragrance by offering mysterious and skin-deep sensations.",Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Versace,Fragrance Direct,103.87,100ml,2165,https://static.thcdn.com/images/small/webp//productimg/512/512/14889111-1835090580994794.jpg,,,,
Versace Man Eau Fraiche Eau de Toilette Spray 50ml Gift Set,"Versace Man Eau Fraiche is an Aromatic-Tonic-Woody fragrance designed for the strong and self-confident man who is fond of luxury. Top notes of white lemon, rose wood and carambola give way to a heart of tarragon, clary sage and cedar leaves. The base notes of sycamore wood, amber and musk complete the fragrance by offering mysterious and skin-deep sensations.",Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Versace,Fragrance Direct,81.6,50ml,2166,https://static.thcdn.com/images/small/webp//productimg/512/512/14888196-3845098381207137.jpg,,,,
JOOP! Homme Eau de Toilette Spray 75ml Giftset,"The perfect Christmas gift idea: the JOOP! HOMME giftset, the essence of male charisma in an oriental fragrance that captures hearts.",Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",JOOP!,Fragrance Direct,62.9,75ml,2167,https://static.thcdn.com/images/small/webp//productimg/512/512/14872100-6235090848761999.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14872100-1845090848727112.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14872100-5595090848680066.jpg,,
Laurelle The British Racing Club Green Eau de Parfum Spray 100ml,Description coming soon.,Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Laurelle,Fragrance Direct,22.083,100ml,2168,https://static.thcdn.com/images/small/webp//productimg/512/512/15275209-1545138725013655.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/15275209-1355138725028820.jpg,,,
Laurelle The British Racing Club Black Eau de Parfum Spray 100ml,Description coming soon.,Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Laurelle,Fragrance Direct,22.083,100ml,2169,https://static.thcdn.com/images/small/webp//productimg/512/512/15275217-7815138725070328.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/15275217-1005138725083558.jpg,,,
